,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Op. 7 ii,155,102,58,45,43,19,25,12,36,14,12,15,15,19,9,3,5,5,1,7,4,6,5,2,1,1,1,3,2,0,1,1,3,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Op. 7 iii,9,7,2,1,3,10,2,1,3,0,0,2,1,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 7 iv,38,29,14,5,10,6,6,5,3,3,1,1,0,2,0,1,1,2,1,0,0,0,1,2,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 8 i,34,24,22,18,10,11,10,1,12,3,1,15,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 8 ii,10,22,12,11,7,12,13,2,8,5,4,9,1,10,7,1,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 9 i,6,3,15,2,4,3,4,2,2,3,0,6,0,3,1,0,1,0,2,0,3,3,2,0,1,0,1,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 9 ii,21,8,6,8,6,1,4,3,1,2,2,7,0,3,2,0,1,9,1,1,2,2,0,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 9 iii,22,8,15,5,7,5,15,4,0,3,1,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 9 iv,44,4,0,2,4,2,2,0,1,1,0,3,0,13,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 9 v,5,0,3,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 9 vi,5,2,4,3,3,1,4,1,5,3,2,5,0,0,3,2,1,3,2,0,2,2,0,2,0,1,1,0,1,1,1,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Op. 10 i,5,10,9,3,3,1,2,0,4,0,1,5,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 10 ii,19,10,11,12,11,4,4,2,2,4,0,8,0,3,2,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 10 iii,165,37,0,1,4,1,2,3,3,4,1,2,0,2,2,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 10 iv,19,0,2,0,1,0,3,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 10 v,28,24,11,6,6,8,7,4,5,2,1,6,2,5,2,0,3,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 11 i,0,3,1,9,3,1,4,3,3,0,1,5,0,3,1,3,2,1,2,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 11 ii,5,5,5,3,4,2,0,2,3,1,0,4,0,4,1,0,1,0,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 11 iii,8,1,0,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 12 i,12,11,28,20,15,10,12,4,11,3,3,4,0,6,3,1,1,2,2,2,1,3,0,1,1,0,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 12 ii,3,98,30,30,17,21,30,9,16,11,12,21,2,7,1,2,1,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
